,CustomerID,AgeCategory,Gender,Office_U,Office_W,SessionID,IPID,TIMESTAMP,VHOST,URL_FILE,PAGE_NAME,REF_URL_category,page_load_error,page_action_detail,tip,service_detail,xps_info,page_action_detail_EN,service_detail_EN,tip_EN
0,2025826,50-65,V,313,313,12956475,620841,2015-10-05 10:12:56.880000000,www.werk.nl,/werk_nl/werknemer/uitkering-aanvragen/uwv-dienstverlening/ww/50plus,50plus,,0,,,,,,,
1,2025826,50-65,V,313,313,13243433,620841,2015-09-30 15:14:35.943000000,www.werk.nl,/werk_nl/werknemer/uitkering-aanvragen/uwv-dienstverlening/ww/50plus,50plus,,0,,,,,,,
2,1503890,30-39,V,247,247,14805466,1690840,2015-09-01 19:35:06.707000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-tw,aanvragen-tw,,0,,,3. Versturen gegevens,,,3. Send data,
3,2063574,50-65,M,296,301,12710639,1632512,2015-11-06 10:47:42.137000000,www.werk.nl,/werk_nl/werknemer/uitkering-aanvragen/uwv-dienstverlening/ww/50plus,50plus,,0,,,,,,,
4,2185161,18-29,V,327,327,44281847,757955,2016-01-11 18:44:07.877000000,www.werk.nl,/werk_nl/werknemer/uitkering-aanvragen/bijstandsuitkering,bijstandsuitkering,,0,,,,,,,
5,2074173,40-49,M,296,269,32607429,1855184,2015-11-09 22:43:19.973000000,www.werk.nl,/werk_nl/werknemer/solliciteren/europa/land/frankrijk,frankrijk,,0,,,,,,,
6,2140620,30-39,V,271,274,4752535,1723649,2015-11-02 11:39:37.567000000,digid.werk.nl,/werk_nl/werknemer/eintake/inschrijven,inschrijven,,0,,,,,,,
7,2099262,50-65,V,330,330,388094,967997,2015-10-28 17:00:52.393000000,www.werk.nl,/werk_nl/werknemer/uitkering-aanvragen/inschrijven,inschrijven,,0,,,,,,,
8,1626445,50-65,M,330,330,12239424,1268110,2015-08-27 21:03:34.143000000,www.werk.nl,/werk_nl/werknemer/uitkering-aanvragen/inschrijven,inschrijven,,0,,,,,,,
9,2096614,40-49,M,313,313,45886197,1916881,2016-01-19 10:44:52.140000000,digid.werk.nl,/portal/page/portal/home/diensten/aanvragen-tw,aanvragen-tw,,0,,,,,,,
10,1288513,50-65,M,257,261,52132756,462379,2016-02-18 18:41:14.117000000,digid.werk.nl,/werk_nl/werknemer/mijn_werkmap/werk-zoeken/vacatures_bij_mijn_cv,vacatures_bij_mijn_cv,,0,,,,,,,
11,2057162,50-65,M,296,247,28434762,777533,2015-10-28 10:14:42.613000000,digid.werk.nl,/werk_nl/werknemer/mijn_werkmap/werk-zoeken/vacatures_bij_mijn_cv,vacatures_bij_mijn_cv,,0,,,,,,,
12,1985789,50-65,M,247,239,8162220,616904,2015-07-14 13:50:37.500000000,digid.werk.nl,/werk_nl/werknemer/mijn_werkmap/werk-zoeken/vacatures_bij_mijn_cv,vacatures_bij_mijn_cv,,0,,,,,,,
13,1903105,50-65,M,305,307,41588258,770554,2015-12-17 11:32:58.083000000,digid.werk.nl,/werk_nl/werknemer/mijn_werkmap/werk-zoeken/vacatures_bij_mijn_cv,vacatures_bij_mijn_cv,,0,,,,,,,
14,2208978,40-49,V,296,301,53703958,753260,2016-02-25 11:46:32.767000000,digid.werk.nl,/werk_nl/werknemer/mijn_werkmap/werk-zoeken/vacatures_bij_mijn_cv,vacatures_bij_mijn_cv,,0,,,,,,,
15,1985789,50-65,M,247,239,36313778,616904,2015-11-30 16:05:05.150000000,digid.werk.nl,/werk_nl/werknemer/mijn_werkmap/werk-zoeken/vacatures_bij_mijn_cv,vacatures_bij_mijn_cv,,0,,,,,,,
16,1903105,50-65,M,305,307,42170070,770554,2015-12-16 15:30:09.977000000,digid.werk.nl,/werk_nl/werknemer/mijn_werkmap/werk-zoeken/vacatures_bij_mijn_cv,vacatures_bij_mijn_cv,,0,,,,,,,
17,2208978,40-49,V,296,301,53703958,753260,2016-02-25 11:48:03.790000000,digid.werk.nl,/werk_nl/werknemer/mijn_werkmap/werk-zoeken/vacatures_bij_mijn_cv,vacatures_bij_mijn_cv,,0,,,,,,,
18,1903105,50-65,M,305,307,38897621,770554,2016-01-06 19:17:23.633000000,digid.werk.nl,/werk_nl/werknemer/mijn_werkmap/werk-zoeken/vacatures_bij_mijn_cv,vacatures_bij_mijn_cv,,0,,,,,,,
19,1626445,50-65,M,330,330,8781961,1268110,2015-07-24 09:32:02.173000000,www.werk.nl,/werk_nl/werknemer/uitkering-aanvragen/inschrijven,inschrijven,,0,,,,,,,
20,912732,30-39,M,305,304,40492599,2387097,2015-12-21 09:33:11.770000000,www.werk.nl,/werk_nl/werknemer/uitkering-aanvragen/inschrijven,inschrijven,,0,,,,,,,
